True,Noisy,Filtered,Smoothed
0,-0.1358241784464185,-0.1358241784464185,0.6511243456907423
0.15721404296725078,0.4165723900537922,0.13489852171626723,0.634468758246568
0.3105180318741688,-0.2343911812376629,0.007889656490597696,0.623026458584058
0.456099159207016,0.6643332333868888,0.21050508860872855,0.6198483682564204
0.5903366919365284,0.905140329764694,0.43165737896823675,0.6173845528192647
0.709892022391333,0.6276563064372768,0.5253946489283442,0.6123182860783973
0.8117917024210208,1.062275688799997,0.723644856447226,0.6069845496234442
0.8935013957148741,0.9870421262089889,0.8569007521344053,0.5963925681629199
0.9529889090158392,0.9005802180073417,0.9320123614684616,0.5811969805313668
0.9887747345870026,1.2621439575085622,1.086459648222435,0.5622569231966448
0.9999688468941563,0.8241454805410466,1.0841259349441765,0.5351992768742897
0.9862928383380027,1.1142776725207708,1.153235815459278,0.5049292468765108
0.9480868435005095,1.0073626314004223,1.1768529608797578,0.46774765618436576
0.8863010796932087,1.188095949894435,1.2364132520525768,0.4245532102072398
0.802472214201578,0.1806749849091538,1.04269603183352,0.3728345015491301
0.6986851459933066,0.7590530655402363,1.0153441330695856,0.3236778455638053
0.5775211524135886,0.4507468961954161,0.9232372967886363,0.26985528808784387
0.44199369050557913,0.6619674976067794,0.8915056084363395,0.21433300978722314
0.29547344963467004,0.5752966109698262,0.8463937248651363,0.15413052370711444
0.14160451942495159,0.4836970744081147,0.7897467980601289,0.08963854857146536
-0.01578624201363746,-0.2732039828218616,0.5937823274978242,0.021262382933676105
-0.17278438547409963,-0.2137448546418857,0.44034495944400565,-0.04315401452527523
-0.32548522651021183,-0.05302379151454378,0.34090829552684915,-0.1049396219560837
-0.4700909584360031,-0.5694923940501381,0.16317367134567115,-0.16650768094309154
-0.6030051071796146,-1.1215876836868208,-0.0856487895430375,-0.22268231112250292
-0.7209219788147165,-0.9270195614103072,-0.2634397713125271,-0.2678613570774324
-0.8209088751292625,-0.5441102327278742,-0.34924826567776973,-0.3046747836894229
-0.9004790324567515,-0.8424352565990731,-0.47185079474149916,-0.3377536404087216
-0.9576534697159295,-1.461120700773785,-0.6784626754181204,-0.364101329948839
-0.9910102074427921,-0.4058757522642136,-0.6840073365610766,-0.37710552404220155
-0.9997196336934779,-1.449344644527,-0.8545740850349958,-0.38863331830910686
-0.98356513723637,-1.2343442860094742,-0.9672214990569389,-0.3872187668206232
-0.942948494867437,-1.0624474378845843,-1.036748308980906,-0.37525942429200776
-0.8788798788614604,-0.9451025267211786,-1.077504267134979,-0.35457627064139063
-0.7929527330827786,-0.43046713953869237,-1.0325749845528953,-0.3263049097776036
-0.6873041426091843,-0.8342419244068114,-1.0526320176040715,-0.2959182452073841
-0.5645616825119181,-0.5516314092275021,-1.0261138830062542,-0.25868189892768223
-0.42777806771020954,-0.5593662217493357,-1.00233646189123,-0.21741360869756132
-0.28035522921701433,-0.10907304462179698,-0.9132689729012284,-0.17167464235778507
-0.12595970506771748,-0.016107060225365802,-0.8196569906709312,-0.1260658832666698
0.03156854976481153,-0.3017058833896762,-0.7774462049434221,-0.0812257645141704
0.188311666489718,-0.17048252524720173,-0.7199820289383669,-0.03360029517540508
0.34037130340411303,0.5107719560775713,-0.569779779125636,0.01576624480441291
0.48396560114283893,-0.14076074724208942,-0.5294641118004987,0.059743626445639575
0.6155232409081793,-0.22117770415317117,-0.5045166816942762,0.10593868404187456
0.7317722663670769,0.6178715365831958,-0.36224287968235314,0.1556426011327196
0.829821460135726,0.665738984791541,-0.22858978307786906,0.19997510741024646
0.9072322509454814,1.206544496801731,-0.033010276870261424,0.23878602510298794
0.962079363094463,1.177496218184818,0.1369368993378327,0.26640659010057655
0.9929986997786697,0.9661799070533841,0.25835492126527176,0.2833935588028845
0.9992212694012755,0.6838812004980401,0.32661535763879046,0.29223400909920244
0.980592311082404,0.9246710814207506,0.4207449117384163,0.2961319674736943
0.9375751437008252,1.4827250978642348,0.5820751448492572,0.29244161090453374
